Bloc : 0,0 | Moyenne : 75.386719
Bloc : 0,1 | Moyenne : 88.371094
Bloc : 0,2 | Moyenne : 83.800781
Bloc : 0,3 | Moyenne : 66.812500
Bloc : 0,4 | Moyenne : 76.718750
Bloc : 0,5 | Moyenne : 64.578125
Bloc : 0,6 | Moyenne : 63.687500
Bloc : 0,7 | Moyenne : 52.039062
Bloc : 0,8 | Moyenne : 60.714844
Bloc : 0,9 | Moyenne : 74.398438
Bloc : 0,10 | Moyenne : 79.121094
Bloc : 0,11 | Moyenne : 69.660156
Bloc : 0,12 | Moyenne : 48.343750
Bloc : 0,13 | Moyenne : 45.203125
Bloc : 0,14 | Moyenne : 48.871094
Bloc : 0,15 | Moyenne : 45.414062
Bloc : 0,16 | Moyenne : 42.175781
Bloc : 0,17 | Moyenne : 40.398438
Bloc : 0,18 | Moyenne : 37.839844
Bloc : 0,19 | Moyenne : 31.523438
Bloc : 0,20 | Moyenne : 30.925781
Bloc : 0,21 | Moyenne : 34.199219
Bloc : 0,22 | Moyenne : 35.152344
Bloc : 0,23 | Moyenne : 42.062500
Bloc : 0,24 | Moyenne : 48.960938
Bloc : 0,25 | Moyenne : 42.085938
Bloc : 0,26 | Moyenne : 53.488281
Bloc : 0,27 | Moyenne : 61.027344
Bloc : 0,28 | Moyenne : 59.019531
Bloc : 0,29 | Moyenne : 55.875000
Bloc : 0,30 | Moyenne : 58.175781
Bloc : 0,31 | Moyenne : 56.496094
Bloc : 0,32 | Moyenne : 59.148438
Bloc : 0,33 | Moyenne : 75.242188
Bloc : 0,34 | Moyenne : 78.027344
Bloc : 0,35 | Moyenne : 85.710938
Bloc : 0,36 | Moyenne : 85.710938
Bloc : 0,37 | Moyenne : 85.945312
Bloc : 0,38 | Moyenne : 85.914062
Bloc : 0,39 | Moyenne : 80.046875
Bloc : 0,40 | Moyenne : 74.554688
Bloc : 0,41 | Moyenne : 75.617188
Bloc : 0,42 | Moyenne : 72.042969
Bloc : 0,43 | Moyenne : 71.523438
Bloc : 0,44 | Moyenne : 72.953125
Bloc : 0,45 | Moyenne : 74.125000
Bloc : 0,46 | Moyenne : 69.750000
Bloc : 0,47 | Moyenne : 68.011719
Bloc : 0,48 | Moyenne : 56.039062
Bloc : 0,49 | Moyenne : 53.820312
Bloc : 0,50 | Moyenne : 54.468750
Bloc : 0,51 | Moyenne : 62.480469
Bloc : 0,52 | Moyenne : 69.339844
Bloc : 0,53 | Moyenne : 71.218750
Bloc : 0,54 | Moyenne : 68.972656
Bloc : 0,55 | Moyenne : 67.890625
Bloc : 0,56 | Moyenne : 77.003906
Bloc : 0,57 | Moyenne : 82.070312
Bloc : 0,58 | Moyenne : 71.375000
Bloc : 0,59 | Moyenne : 66.507812
Bloc : 0,60 | Moyenne : 60.734375
Bloc : 0,61 | Moyenne : 60.382812
Bloc : 0,62 | Moyenne : 53.957031
Bloc : 0,63 | Moyenne : 52.746094
Bloc : 1,0 | Moyenne : 74.839844
Bloc : 1,1 | Moyenne : 79.546875
Bloc : 1,2 | Moyenne : 78.503906
Bloc : 1,3 | Moyenne : 71.308594
Bloc : 1,4 | Moyenne : 75.121094
Bloc : 1,5 | Moyenne : 70.246094
Bloc : 1,6 | Moyenne : 64.976562
Bloc : 1,7 | Moyenne : 51.390625
Bloc : 1,8 | Moyenne : 67.914062
Bloc : 1,9 | Moyenne : 73.894531
Bloc : 1,10 | Moyenne : 72.937500
Bloc : 1,11 | Moyenne : 66.203125
Bloc : 1,12 | Moyenne : 48.050781
Bloc : 1,13 | Moyenne : 41.871094
Bloc : 1,14 | Moyenne : 46.582031
Bloc : 1,15 | Moyenne : 40.988281
Bloc : 1,16 | Moyenne : 36.132812
Bloc : 1,17 | Moyenne : 40.144531
Bloc : 1,18 | Moyenne : 44.523438
Bloc : 1,19 | Moyenne : 34.136719
Bloc : 1,20 | Moyenne : 29.570312
Bloc : 1,21 | Moyenne : 38.347656
Bloc : 1,22 | Moyenne : 43.656250
Bloc : 1,23 | Moyenne : 39.968750
Bloc : 1,24 | Moyenne : 55.187500
Bloc : 1,25 | Moyenne : 59.378906
Bloc : 1,26 | Moyenne : 61.964844
Bloc : 1,27 | Moyenne : 75.625000
Bloc : 1,28 | Moyenne : 65.582031
Bloc : 1,29 | Moyenne : 55.332031
Bloc : 1,30 | Moyenne : 54.167969
Bloc : 1,31 | Moyenne : 54.578125
Bloc : 1,32 | Moyenne : 66.546875
Bloc : 1,33 | Moyenne : 73.863281
Bloc : 1,34 | Moyenne : 84.078125
