Bloc : 4,11 | Moyenne : 77.824219
Bloc : 4,12 | Moyenne : 86.242188
Bloc : 4,13 | Moyenne : 83.466797
Bloc : 4,14 | Moyenne : 90.733398
Bloc : 4,15 | Moyenne : 86.255859
Bloc : 4,16 | Moyenne : 86.136719
Bloc : 4,17 | Moyenne : 91.737305
Bloc : 4,18 | Moyenne : 85.679688
Bloc : 4,19 | Moyenne : 80.059570
Bloc : 4,20 | Moyenne : 85.912109
Bloc : 4,21 | Moyenne : 91.077148
Bloc : 4,22 | Moyenne : 86.152344
Bloc : 4,23 | Moyenne : 87.501953
Bloc : 4,24 | Moyenne : 82.942383
Bloc : 4,25 | Moyenne : 76.094727
Bloc : 4,26 | Moyenne : 75.520508
Bloc : 4,27 | Moyenne : 74.777344
Bloc : 4,28 | Moyenne : 76.988281
Bloc : 4,29 | Moyenne : 80.950195
Bloc : 4,30 | Moyenne : 75.849609
Bloc : 4,31 | Moyenne : 61.724609
Bloc : 5,0 | Moyenne : 100.876953
Bloc : 5,1 | Moyenne : 99.984375
Bloc : 5,2 | Moyenne : 92.489258
Bloc : 5,3 | Moyenne : 128.785156
Bloc : 5,4 | Moyenne : 225.010742
Bloc : 5,5 | Moyenne : 189.499023
Bloc : 5,6 | Moyenne : 197.778320
Bloc : 5,7 | Moyenne : 196.624023
Bloc : 5,8 | Moyenne : 137.013672
Bloc : 5,9 | Moyenne : 182.972656
Bloc : 5,10 | Moyenne : 90.726562
Bloc : 5,11 | Moyenne : 83.280273
Bloc : 5,12 | Moyenne : 106.268555
Bloc : 5,13 | Moyenne : 95.628906
Bloc : 5,14 | Moyenne : 96.823242
Bloc : 5,15 | Moyenne : 98.388672
Bloc : 5,16 | Moyenne : 94.828125
Bloc : 5,17 | Moyenne : 91.224609
Bloc : 5,18 | Moyenne : 84.797852
Bloc : 5,19 | Moyenne : 82.255859
Bloc : 5,20 | Moyenne : 92.126953
Bloc : 5,21 | Moyenne : 93.580078
Bloc : 5,22 | Moyenne : 96.280273
Bloc : 5,23 | Moyenne : 89.215820
Bloc : 5,24 | Moyenne : 82.275391
Bloc : 5,25 | Moyenne : 85.676758
Bloc : 5,26 | Moyenne : 80.160156
Bloc : 5,27 | Moyenne : 68.312500
Bloc : 5,28 | Moyenne : 67.669922
Bloc : 5,29 | Moyenne : 78.211914
Bloc : 5,30 | Moyenne : 95.589844
Bloc : 5,31 | Moyenne : 69.326172
Bloc : 6,0 | Moyenne : 95.934570
Bloc : 6,1 | Moyenne : 102.410156
Bloc : 6,2 | Moyenne : 136.323242
Bloc : 6,3 | Moyenne : 164.790039
Bloc : 6,4 | Moyenne : 146.167969
Bloc : 6,5 | Moyenne : 207.702148
Bloc : 6,6 | Moyenne : 171.166016
Bloc : 6,7 | Moyenne : 129.330078
Bloc : 6,8 | Moyenne : 150.374023
Bloc : 6,9 | Moyenne : 192.968750
Bloc : 6,10 | Moyenne : 170.632812
Bloc : 6,11 | Moyenne : 96.059570
Bloc : 6,12 | Moyenne : 98.238281
Bloc : 6,13 | Moyenne : 84.103516
Bloc : 6,14 | Moyenne : 91.063477
Bloc : 6,15 | Moyenne : 105.023438
Bloc : 6,16 | Moyenne : 95.167969
Bloc : 6,17 | Moyenne : 91.836914
Bloc : 6,18 | Moyenne : 78.481445
Bloc : 6,19 | Moyenne : 81.635742
