Bloc : 0,0 | Moyenne : 78.848877
Bloc : 0,1 | Moyenne : 65.259521
Bloc : 0,2 | Moyenne : 67.404541
Bloc : 0,3 | Moyenne : 47.018799
Bloc : 0,4 | Moyenne : 48.551514
Bloc : 0,5 | Moyenne : 45.578613
Bloc : 0,6 | Moyenne : 60.638184
Bloc : 0,7 | Moyenne : 57.858398
Bloc : 0,8 | Moyenne : 79.465088
Bloc : 0,9 | Moyenne : 87.827393
Bloc : 0,10 | Moyenne : 79.483887
Bloc : 0,11 | Moyenne : 71.907471
Bloc : 0,12 | Moyenne : 62.805420
Bloc : 0,13 | Moyenne : 74.223877
Bloc : 0,14 | Moyenne : 77.565674
Bloc : 0,15 | Moyenne : 57.757324
Bloc : 1,0 | Moyenne : 85.391602
Bloc : 1,1 | Moyenne : 80.965820
Bloc : 1,2 | Moyenne : 109.989014
Bloc : 1,3 | Moyenne : 120.712891
Bloc : 1,4 | Moyenne : 90.267090
Bloc : 1,5 | Moyenne : 71.486328
Bloc : 1,6 | Moyenne : 67.400879
Bloc : 1,7 | Moyenne : 72.729248
Bloc : 1,8 | Moyenne : 87.758545
Bloc : 1,9 | Moyenne : 86.797852
Bloc : 1,10 | Moyenne : 87.983154
Bloc : 1,11 | Moyenne : 82.813477
Bloc : 1,12 | Moyenne : 76.883789
Bloc : 1,13 | Moyenne : 75.481689
Bloc : 1,14 | Moyenne : 80.535156
Bloc : 1,15 | Moyenne : 58.841797
Bloc : 2,0 | Moyenne : 94.208008
Bloc : 2,1 | Moyenne : 98.974365
Bloc : 2,2 | Moyenne : 205.659424
Bloc : 2,3 | Moyenne : 196.472168
Bloc : 2,4 | Moyenne : 152.460693
Bloc : 2,5 | Moyenne : 81.608398
Bloc : 2,6 | Moyenne : 92.901611
Bloc : 2,7 | Moyenne : 93.050293
Bloc : 2,8 | Moyenne : 90.981689
Bloc : 2,9 | Moyenne : 83.198242
Bloc : 2,10 | Moyenne : 90.674072
Bloc : 2,11 | Moyenne : 89.787598
Bloc : 2,12 | Moyenne : 81.747314
Bloc : 2,13 | Moyenne : 74.692627
Bloc : 2,14 | Moyenne : 75.955078
Bloc : 2,15 | Moyenne : 75.622559
Bloc : 3,0 | Moyenne : 102.785400
Bloc : 3,1 | Moyenne : 156.197021
Bloc : 3,2 | Moyenne : 139.968750
Bloc : 3,3 | Moyenne : 123.525635
Bloc : 3,4 | Moyenne : 169.607178
Bloc : 3,5 | Moyenne : 151.867188
Bloc : 3,6 | Moyenne : 92.552490
Bloc : 3,7 | Moyenne : 95.809326
Bloc : 3,8 | Moyenne : 90.903564
Bloc : 3,9 | Moyenne : 79.697510
Bloc : 3,10 | Moyenne : 85.054932
Bloc : 3,11 | Moyenne : 89.100098
Bloc : 3,12 | Moyenne : 85.928955
Bloc : 3,13 | Moyenne : 88.831543
Bloc : 3,14 | Moyenne : 79.737305
Bloc : 3,15 | Moyenne : 86.814941
Bloc : 4,0 | Moyenne : 103.880371
Bloc : 4,1 | Moyenne : 94.252930
Bloc : 4,2 | Moyenne : 76.512451
Bloc : 4,3 | Moyenne : 83.111084
Bloc : 4,4 | Moyenne : 168.141602
Bloc : 4,5 | Moyenne : 210.335938
Bloc : 4,6 | Moyenne : 129.045166
Bloc : 4,7 | Moyenne : 96.091553
Bloc : 4,8 | Moyenne : 90.982178
Bloc : 4,9 | Moyenne : 86.999756
Bloc : 4,10 | Moyenne : 99.316650
Bloc : 4,11 | Moyenne : 95.635254
Bloc : 4,12 | Moyenne : 95.158936
Bloc : 4,13 | Moyenne : 95.929932
Bloc : 4,14 | Moyenne : 86.007568
Bloc : 4,15 | Moyenne : 84.552734
Bloc : 5,0 | Moyenne : 100.480957
Bloc : 5,1 | Moyenne : 101.290283
Bloc : 5,2 | Moyenne : 90.845703
Bloc : 5,3 | Moyenne : 95.910645
Bloc : 5,4 | Moyenne : 163.712402
Bloc : 5,5 | Moyenne : 219.783936
Bloc : 5,6 | Moyenne : 201.700928
Bloc : 5,7 | Moyenne : 156.194092
Bloc : 5,8 | Moyenne : 151.496582
Bloc : 5,9 | Moyenne : 161.092041
Bloc : 5,10 | Moyenne : 128.197021
Bloc : 5,11 | Moyenne : 103.933105
Bloc : 5,12 | Moyenne : 108.739990
Bloc : 5,13 | Moyenne : 140.112793
Bloc : 5,14 | Moyenne : 143.946045
Bloc : 5,15 | Moyenne : 79.011230
Bloc : 6,0 | Moyenne : 97.359375
Bloc : 6,1 | Moyenne : 90.392090
Bloc : 6,2 | Moyenne : 90.584473
Bloc : 6,3 | Moyenne : 84.528564
Bloc : 6,4 | Moyenne : 139.907959
Bloc : 6,5 | Moyenne : 195.956299
Bloc : 6,6 | Moyenne : 202.789062
Bloc : 6,7 | Moyenne : 200.340820
Bloc : 6,8 | Moyenne : 182.772217
Bloc : 6,9 | Moyenne : 212.094238
Bloc : 6,10 | Moyenne : 171.599365
Bloc : 6,11 | Moyenne : 78.662842
Bloc : 6,12 | Moyenne : 89.704590
Bloc : 6,13 | Moyenne : 68.096436
Bloc : 6,14 | Moyenne : 119.060059
Bloc : 6,15 | Moyenne : 96.929443
Bloc : 7,0 | Moyenne : 91.072998
Bloc : 7,1 | Moyenne : 89.596680
Bloc : 7,2 | Moyenne : 82.593750
Bloc : 7,3 | Moyenne : 108.562500
Bloc : 7,4 | Moyenne : 135.000000
Bloc : 7,5 | Moyenne : 160.675537
Bloc : 7,6 | Moyenne : 178.977783
Bloc : 7,7 | Moyenne : 177.373535
Bloc : 7,8 | Moyenne : 142.951660
Bloc : 7,9 | Moyenne : 153.256836
Bloc : 7,10 | Moyenne : 148.333496
Bloc : 7,11 | Moyenne : 87.403809
Bloc : 7,12 | Moyenne : 72.288818
Bloc : 7,13 | Moyenne : 52.826904
Bloc : 7,14 | Moyenne : 98.127686
Bloc : 7,15 | Moyenne : 75.269531
Bloc : 8,0 | Moyenne : 78.465820
Bloc : 8,1 | Moyenne : 84.642578
Bloc : 8,2 | Moyenne : 84.938477
Bloc : 8,3 | Moyenne : 111.258057
Bloc : 8,4 | Moyenne : 125.039307
Bloc : 8,5 | Moyenne : 112.409668
Bloc : 8,6 | Moyenne : 164.177002
Bloc : 8,7 | Moyenne : 135.415039
Bloc : 8,8 | Moyenne : 94.477051
Bloc : 8,9 | Moyenne : 103.062744
Bloc : 8,10 | Moyenne : 115.236572
Bloc : 8,11 | Moyenne : 69.007080
Bloc : 8,12 | Moyenne : 61.707031
Bloc : 8,13 | Moyenne : 52.961426
Bloc : 8,14 | Moyenne : 83.071777
Bloc : 8,15 | Moyenne : 58.954590
Bloc : 9,0 | Moyenne : 103.928711
Bloc : 9,1 | Moyenne : 121.781006
Bloc : 9,2 | Moyenne : 127.587891
Bloc : 9,3 | Moyenne : 115.494629
Bloc : 9,4 | Moyenne : 74.669678
Bloc : 9,5 | Moyenne : 116.458984
Bloc : 9,6 | Moyenne : 108.578857
Bloc : 9,7 | Moyenne : 96.102783
Bloc : 9,8 | Moyenne : 103.957764
Bloc : 9,9 | Moyenne : 54.847656
Bloc : 9,10 | Moyenne : 46.015625
Bloc : 9,11 | Moyenne : 36.426270
Bloc : 9,12 | Moyenne : 113.895996
Bloc : 9,13 | Moyenne : 142.046387
Bloc : 9,14 | Moyenne : 142.766357
Bloc : 9,15 | Moyenne : 129.731445
Bloc : 10,0 | Moyenne : 144.202393
Bloc : 10,1 | Moyenne : 151.308838
Bloc : 10,2 | Moyenne : 142.253174
Bloc : 10,3 | Moyenne : 85.249268
Bloc : 10,4 | Moyenne : 100.966553
Bloc : 10,5 | Moyenne : 39.865723
Bloc : 10,6 | Moyenne : 152.569092
Bloc : 10,7 | Moyenne : 172.343750
Bloc : 10,8 | Moyenne : 161.108154
Bloc : 10,9 | Moyenne : 130.600830
Bloc : 10,10 | Moyenne : 35.763916
Bloc : 10,11 | Moyenne : 85.421387
Bloc : 10,12 | Moyenne : 126.421631
Bloc : 10,13 | Moyenne : 155.002686
Bloc : 10,14 | Moyenne : 152.186279
Bloc : 10,15 | Moyenne : 145.194336
Bloc : 11,0 | Moyenne : 199.343506
Bloc : 11,1 | Moyenne : 198.045654
Bloc : 11,2 | Moyenne : 198.533447
Bloc : 11,3 | Moyenne : 87.703613
Bloc : 11,4 | Moyenne : 141.749756
Bloc : 11,5 | Moyenne : 64.618652
Bloc : 11,6 | Moyenne : 194.853760
Bloc : 11,7 | Moyenne : 198.530029
Bloc : 11,8 | Moyenne : 167.881836
Bloc : 11,9 | Moyenne : 84.217041
Bloc : 11,10 | Moyenne : 151.929199
Bloc : 11,11 | Moyenne : 104.301758
Bloc : 11,12 | Moyenne : 184.831299
Bloc : 11,13 | Moyenne : 177.726074
Bloc : 11,14 | Moyenne : 180.085205
Bloc : 11,15 | Moyenne : 171.236816
